x               y               z               Bmag            
    -6.43424   -10.25980    -3.02017     6.52943
    -6.43314   -10.25855    -3.02018     6.53248
    -6.43205   -10.25729    -3.02019     6.53553
    -6.43095   -10.25604    -3.02020     6.53859
    -6.42986   -10.25478    -3.02021     6.54165
    -6.42876   -10.25352    -3.02022     6.54472
    -6.42767   -10.25227    -3.02023     6.54779
    -6.42657   -10.25101    -3.02024     6.55086
    -6.42548   -10.24975    -3.02025     6.55394
    -6.42438   -10.24850    -3.02026     6.55703
    -6.42329   -10.24724    -3.02028     6.56012
    -6.42219   -10.24599    -3.02029     6.56321
    -6.42109   -10.24473    -3.02030     6.56631
    -6.42000   -10.24348    -3.02032     6.56941
    -6.41890   -10.24222    -3.02033     6.57252
    -6.41781   -10.24096    -3.02035     6.57563
    -6.41671   -10.23971    -3.02037     6.57875
    -6.41562   -10.23845    -3.02038     6.58187
    -6.41452   -10.23720    -3.02040     6.58500
    -6.41342   -10.23594    -3.02042     6.58813
    -6.41233   -10.23469    -3.02044     6.59126
    -6.41123   -10.23343    -3.02045     6.59440
    -6.41014   -10.23218    -3.02047     6.59755
    -6.40904   -10.23092    -3.02049     6.60070
    -6.40794   -10.22966    -3.02051     6.60385
    -6.40685   -10.22841    -3.02053     6.60701
    -6.40575   -10.22715    -3.02056     6.61018
    -6.40465   -10.22590    -3.02058     6.61334
    -6.40356   -10.22464    -3.02060     6.61652
    -6.40246   -10.22339    -3.02062     6.61969
    -6.40137   -10.22213    -3.02065     6.62288
    -6.40027   -10.22088    -3.02067     6.62606
    -6.39917   -10.21962    -3.02069     6.62925
    -6.39808   -10.21837    -3.02072     6.63245
    -6.39698   -10.21711    -3.02074     6.63565
    -6.39588   -10.21586    -3.02077     6.63886
    -6.39479   -10.21460    -3.02080     6.64207
    -6.39369   -10.21335    -3.02082     6.64528
    -6.39259   -10.21209    -3.02085     6.64850
    -6.39150   -10.21084    -3.02088     6.65173
    -6.39040   -10.20958    -3.02091     6.65495
    -6.38930   -10.20833    -3.02094     6.65819
    -6.38821   -10.20707    -3.02097     6.66143
    -6.38711   -10.20582    -3.02100     6.66467
    -6.38601   -10.20457    -3.02103     6.66792
    -6.38492   -10.20331    -3.02106     6.67117
    -6.38382   -10.20206    -3.02109     6.67443
    -6.38272   -10.20080    -3.02112     6.67769
    -6.38163   -10.19955    -3.02115     6.68095
    -6.38053   -10.19829    -3.02119     6.68422
    -6.37943   -10.19704    -3.02122     6.68750
    -6.37834   -10.19579    -3.02126     6.69078
    -6.37724   -10.19453    -3.02129     6.69406
    -6.37614   -10.19328    -3.02132     6.69735
    -6.37504   -10.19202    -3.02136     6.70065
    -6.37395   -10.19077    -3.02140     6.70395
    -6.37285   -10.18951    -3.02143     6.70725
    -6.37175   -10.18826    -3.02147     6.71056
    -6.37066   -10.18701    -3.02151     6.71387
    -6.36956   -10.18575    -3.02155     6.71719
    -6.36846   -10.18450    -3.02158     6.72051
    -6.36736   -10.18324    -3.02162     6.72384
    -6.36627   -10.18199    -3.02166     6.72717
    -6.36517   -10.18074    -3.02170     6.73050
    -6.36407   -10.17948    -3.02174     6.73384
    -6.36297   -10.17823    -3.02179     6.73719
    -6.36188   -10.17698    -3.02183     6.74054
    -6.36078   -10.17572    -3.02187     6.74390
    -6.35968   -10.17447    -3.02191     6.74725
    -6.35858   -10.17322    -3.02195     6.75062
    -6.35749   -10.17196    -3.02200     6.75399
    -6.35639   -10.17071    -3.02204     6.75736
    -6.35529   -10.16946    -3.02209     6.76074
    -6.35419   -10.16820    -3.02213     6.76412
    -6.35309   -10.16695    -3.02218     6.76751
    -6.35200   -10.16570    -3.02222     6.77090
    -6.35090   -10.16444    -3.02227     6.77430
    -6.34980   -10.16319    -3.02232     6.77770
    -6.34870   -10.16194    -3.02237     6.78111
    -6.34761   -10.16068    -3.02241     6.78452
    -6.34651   -10.15943    -3.02246     6.78793
    -6.34541   -10.15818    -3.02251     6.79135
    -6.34431   -10.15692    -3.02256     6.79478
    -6.34321   -10.15567    -3.02261     6.79821
    -6.34212   -10.15442    -3.02266     6.80164
    -6.34102   -10.15317    -3.02271     6.80508
    -6.33992   -10.15191    -3.02276     6.80852
    -6.33882   -10.15066    -3.02282     6.81197
    -6.33772   -10.14941    -3.02287     6.81543
    -6.33663   -10.14816    -3.02292     6.81888
    -6.33553   -10.14690    -3.02298     6.82234
    -6.33443   -10.14565    -3.02303     6.82581
    -6.33333   -10.14440    -3.02309     6.82928
    -6.33223   -10.14315    -3.02314     6.83276
    -6.33113   -10.14189    -3.02320     6.83624
    -6.33004   -10.14064    -3.02325     6.83973
    -6.32894   -10.13939    -3.02331     6.84322
    -6.32784   -10.13814    -3.02337     6.84671
    -6.32674   -10.13688    -3.02342     6.85021
    -6.32564   -10.13563    -3.02348     6.85372
    -6.32454   -10.13438    -3.02354     6.85723
    -6.32345   -10.13313    -3.02360     6.86074
    -6.32235   -10.13188    -3.02366     6.86426
    -6.32125   -10.13062    -3.02372     6.86778
    -6.32015   -10.12937    -3.02378     6.87131
    -6.31905   -10.12812    -3.02384     6.87484
    -6.31795   -10.12687    -3.02390     6.87838
    -6.31685   -10.12562    -3.02396     6.88192
    -6.31576   -10.12436    -3.02403     6.88547
    -6.31466   -10.12311    -3.02409     6.88902
    -6.31356   -10.12186    -3.02415     6.89257
    -6.31246   -10.12061    -3.02422     6.89613
    -6.31136   -10.11936    -3.02428     6.89970
    -6.31026   -10.11811    -3.02434     6.90327
    -6.30916   -10.11686    -3.02441     6.90684
    -6.30806   -10.11560    -3.02448     6.91042
    -6.30697   -10.11435    -3.02454     6.91401
    -6.30587   -10.11310    -3.02461     6.91760
    -6.30477   -10.11185    -3.02468     6.92119
    -6.30367   -10.11060    -3.02474     6.92479
    -6.30257   -10.10935    -3.02481     6.92839
    -6.30147   -10.10810    -3.02488     6.93200
    -6.30037   -10.10685    -3.02495     6.93561
    -6.29927   -10.10559    -3.02502     6.93923
    -6.29817   -10.10434    -3.02509     6.94285
    -6.29708   -10.10309    -3.02516     6.94647
    -6.29598   -10.10184    -3.02523     6.95010
    -6.29488   -10.10059    -3.02530     6.95374
    -6.29378   -10.09934    -3.02538     6.95738
    -6.29268   -10.09809    -3.02545     6.96102
    -6.29158   -10.09684    -3.02552     6.96467
    -6.29048   -10.09559    -3.02560     6.96833
    -6.28938   -10.09434    -3.02567     6.97199
    -6.28828   -10.09309    -3.02574     6.97565
    -6.28718   -10.09184    -3.02582     6.97932
    -6.28608   -10.09058    -3.02589     6.98299
    -6.28498   -10.08933    -3.02597     6.98667
    -6.28389   -10.08808    -3.02605     6.99035
    -6.28279   -10.08683    -3.02612     6.99404
    -6.28169   -10.08558    -3.02620     6.99773
    -6.28059   -10.08433    -3.02628     7.00143
    -6.27949   -10.08308    -3.02636     7.00513
    -6.27839   -10.08183    -3.02644     7.00883
    -6.27729   -10.08058    -3.02652     7.01254
    -6.27619   -10.07933    -3.02659     7.01626
    -6.27509   -10.07808    -3.02668     7.01998
    -6.27399   -10.07683    -3.02676     7.02370
    -6.27289   -10.07558    -3.02684     7.02743
    -6.27179   -10.07433    -3.02692     7.03117
    -6.27069   -10.07308    -3.02700     7.03490
    -6.26959   -10.07183    -3.02708     7.03865
    -6.26849   -10.07058    -3.02717     7.04240
    -6.26739   -10.06933    -3.02725     7.04615
    -6.26629   -10.06808    -3.02733     7.04991
    -6.26519   -10.06683    -3.02742     7.05367
    -6.26409   -10.06558    -3.02750     7.05743
    -6.26300   -10.06434    -3.02759     7.06120
    -6.26190   -10.06309    -3.02767     7.06498
    -6.26080   -10.06184    -3.02776     7.06876
    -6.25970   -10.06059    -3.02785     7.07255
    -6.25860   -10.05934    -3.02794     7.07634
    -6.25750   -10.05809    -3.02802     7.08013
    -6.25640   -10.05684    -3.02811     7.08393
